Date,Description,Amount,Category
06-10-2024,HDFC Balanced A/121388888/HGFD,250000.0,Others
06-10-2024,"UPI/P2M/428048389764/Moneylicious
Securiti/Pay vi/ICICI Bank",87977.0,Others
07-10-2024,"UPI/P2M/428192773682/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
07-10-2024,"UPI/P2M/428131124250/JM GENERAL STORE
/Paymen/Yes Bank Ltd",35.0,Others
07-10-2024,"UPI/P2M/428118873793/Amazon India         /You
ar/Amazon RBL",1897.0,Shopping
07-10-2024,"UPI/P2M/428142961679/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",80.0,Others
07-10-2024,"UPI/P2M/428132921137/PUNNIYAMUTHY M
/Paymen/City Union Bank",40.0,Others
07-10-2024,"UPI/P2M/428145355574/R GAYATHRI
/Paymen/Yes Bank Ltd",130.0,Others
07-10-2024,"UPI/P2M/428112834247/AMAZON/Amazon
RB/Amazon P//P2V/",799.0,Shopping
08-10-2024,"UPI/P2A/464803631582/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",118.0,Others
08-10-2024,"UPI/P2A/464832170774/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",59.0,Others
08-10-2024,"UPI/P2A/464816928626/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",236.0,Others
08-10-2024,"UPI/P2A/464844461386/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",59.0,Others
08-10-2024,"UPI/P2M/428210564933/H and M HENNES and
MA/Payvia/ICICI Bank",1428.0,Others
08-10-2024,"UPI/P2M/428241094500/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
08-10-2024,"UPI/P2M/428219408758/MUNISAMY
PUNNIYAMURTH/Paymen/Yes Bank Ltd",60.0,Others
08-10-2024,"UPI/P2M/428268515169/R GAYATHRI
/Paymen/Yes Bank Ltd",35.0,Others
08-10-2024,"UPI/P2A/464868116940/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",118.0,Others
08-10-2024,"UPI/P2A/464861252858/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",118.0,Others
08-10-2024,"UPI/P2A/464813560560/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",118.0,Others
08-10-2024,"UPI/P2A/428235750605/AVANTIKA KESHAV
DUSA /Paymen/ICICI Bank",80.0,Others
09-10-2024,"UPI/P2M/428310267261/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
09-10-2024,"UPI/P2M/428370845054/ALL MART
/Paymen/Yes Bank Ltd",155.0,Others
09-10-2024,"UPI/P2M/428317539107/ALL MART
/Paymen/Yes Bank Ltd",20.0,Others
09-10-2024,"UPI/P2M/428315362852/THE HIGH JOINT
VELLOR/Paymen/Axis Bank Ltd.",230.0,Others
09-10-2024,"UPI/P2M/428328836158/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
09-10-2024,"UPI/P2M/428393366108/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
09-10-2024,"UPI/P2M/428322900188/Airtel Payments Bank
/Prepai/INDUSIND BANK",549.0,Others
09-10-2024,"UPI/P2M/428343583846/R GAYATHRI
/Paymen/Yes Bank Ltd",90.0,Others
09-10-2024,"UPI/P2M/428310150864/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",20.0,Others
09-10-2024,"UPI/P2M/464927176779/LEEWAYS
INTEGRATED SE/Paymen/Yes Bank Ltd",75.0,Others
10-10-2024,"UPI/P2M/428482665266/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
10-10-2024,"UPI/P2M/428488619901/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
10-10-2024,"UPI/P2A/428440547805/RUSHABH MEHTA
/Paymen/HDFC BANK LTD",394.0,Others
10-10-2024,"UPI/P2M/428467144742/Spotify I/ICICI
Ban/MandateR//P2V/",59.0,Others
10-10-2024,"UPI/P2M/428450233384/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",20.0,Others
11-10-2024,Axis Growth Opp/122199843/OGGP,5000.0,Others
11-10-2024,ICICI Prudential/122207549/P11,5000.0,Others
11-10-2024,"UPI/P2M/428558078603/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",20.0,Others
11-10-2024,"UPI/P2M/428585969891/Delhivery Limited
/Paymen/Yes Bank Ltd",2127.0,Others
11-10-2024,"UPI/P2M/428538337051/Vellore Institute of
/UPI/ICICI Bank",15.09,Others
11-10-2024,"UPI/P2M/428537718916/FOOD COURT
/Paymen/Yes Bank Ltd",471.0,Food & Dining
11-10-2024,"UPI/P2M/428580905413/IRCTCRazorpay
/Paymen/ICICI Bank",784.05,Travel
11-10-2024,"UPI/P2M/428503682376/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",90.0,Others
11-10-2024,"UPI/P2M/428572689958/Interglobe aviation
l/JFTWE3/ICICI Bank",8108.0,Others
12-10-2024,"UPI/P2A/428682643058/S DILEEP SAI
/Paymen/Karur Vysya Bank",508.0,Others
12-10-2024,"UPI/P2M/428693684475/THE HIGH JOINT
VELLOR/Paymen/Axis Bank Ltd.",460.0,Others
12-10-2024,"UPI/P2M/428718426733/Amazon Pay           /You
ar/Axis Bank Ltd.",1671.0,Shopping
13-10-2024,"UPI/P2M/428739488326/PARASURAMAN
MUNISAMY /Paymen/Yes Bank Ltd",180.0,Others
14-10-2024,"UPI/P2M/428878855014/PUNNIYAMUTHY M
/Paymen/City Union Bank",40.0,Others
14-10-2024,"UPI/P2M/428867986874/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
14-10-2024,"UPI/P2M/428845928675/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
14-10-2024,"UPI/P2M/428874129609/MUNISAMY
PUNNIYAMURTH/Paymen/Yes Bank Ltd",125.0,Others
14-10-2024,"UPI/P2M/692884582884/Google/Axis
Bank/MandateE//P2V/",49.0,Others
14-10-2024,"UPI/P2M/428814737977/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",20.0,Others
15-10-2024,"UPI/P2M/428982898680/Indian Railways
Cater/Paymen/Airtel Payments Bank",359.05,Others
15-10-2024,"UPI/P2M/428963583260/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
15-10-2024,"UPI/P2M/428992895741/ARASAN CATERERS
AND C/Paymen/Yes Bank Ltd",84.0,Others
15-10-2024,"UPI/P2M/428928935384/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
15-10-2024,"UPI/P2M/428922139038/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",60.0,Others
15-10-2024,"UPI/P2M/428980676930/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",20.0,Others
16-10-2024,"UPI/P2M/429030482385/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
16-10-2024,"UPI/P2M/465642190699/VENKATESAN  V
/Paymen/State Bank Of India",170.0,Others
16-10-2024,"UPI/P2M/429064823088/HUNDREDS
HERITAGE    /Paymen/HDFC BANK LTD",1097.0,Others
16-10-2024,"UPI/P2A/429062815236/ MEENA BOOPATHI
/Paymen/Ujjivan Small Financ",150.0,Others
16-10-2024,"UPI/P2M/429025548246/Mr SENTHIL KUMAR
V   /Paymen/Yes Bank Ltd",1600.0,Others
16-10-2024,"UPI/P2M/429076637441/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",80.0,Others
16-10-2024,"UPI/P2M/917622772914/Google/Axis
Bank/MandateE//P2V/",1950.0,Others
17-10-2024,"UPI/P2M/429148785212/NETFLIX C/HDFC
BANK/Monthly//P2V/",499.0,Others
17-10-2024,"UPI/P2M/429149016656/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
17-10-2024,"UPI/P2M/465767476354/EKART
/Paymen/Axis Bank Ltd.",1179.0,Others
17-10-2024,"UPI/P2M/429154165031/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
17-10-2024,"UPI/P2M/429148820850/PARASURAMAN
MUNISAMY /Paymen/Yes Bank Ltd",90.0,Others
17-10-2024,"UPI/P2M/429160032365/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
17-10-2024,"UPI/P2M/429175498380/7th HEAVEN
/Paymen/Yes Bank Ltd",300.0,Others
17-10-2024,"UPI/P2M/429163024289/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",120.0,Others
18-10-2024,"UPI/P2A/429234693926/ADRISH
SRIVASTAVA   /UPI/Kotak Mahindra Bank",372.0,Others
18-10-2024,"UPI/P2M/429226822029/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
18-10-2024,"UPI/P2M/429272698537/SARAVANAKUMAR
SO CHAK/Paymen/Yes Bank Ltd",45.0,Others
18-10-2024,"UPI/P2M/429201818218/BharatPe Merchant
/Pay To/YesBank_Yespay",110.0,Others
18-10-2024,"UPI/P2A/429281031974/Mr. MAHENDIRAN  M
/Paymen/Central Bank Of Indi",200.0,Others
19-10-2024,"UPI/P2M/429394515835/Jio Prepaid
Recharges/Paymen/Yes Bank Ltd",49.0,Utilities
19-10-2024,"UPI/P2M/429317193394/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
19-10-2024,"UPI/P2M/429361483943/ALL MART
/Paymen/Yes Bank Ltd",320.0,Others
19-10-2024,"UPI/P2M/429326576511/PARASURAMAN
MUNISAMY /Paymen/Yes Bank Ltd",125.0,Others
19-10-2024,"POS/GOOGLE PLAY SER
C/2240920005/191024/15:19/429315718222",130.0,Others
19-10-2024,"UPI/P2M/465999100808/LEEWAYS
INTEGRATED SE/Paymen/Yes Bank Ltd",95.0,Others
20-10-2024,"UPI/P2A/429484654876/AVANTIKA KESHAV
DUSA /Paymen/ICICI Bank",270.0,Others
20-10-2024,"UPI/P2M/429457216101/Dominos Pizza
/Paymen/Yes Bank Ltd",587.0,Food & Dining
21-10-2024,"UPI/P2M/429576722030/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
21-10-2024,"UPI/P2M/429572472175/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
21-10-2024,"UPI/P2M/466144145050/EKART
/Paymen/Axis Bank Ltd.",531.0,Others
21-10-2024,"UPI/P2M/429578269563/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
21-10-2024,"UPI/P2M/429520136632/G5 FOODS
/Paymen/Yes Bank Ltd",2941.0,Food & Dining
21-10-2024,"UPI/P2M/429525160801/FROZEN BOTTLE
/Genera/HDFC BANK LTD",1598.0,Others
21-10-2024,"UPI/P2M/429517511769/Swiggy               /Pay
vi/ICICI Bank",548.0,Others
21-10-2024,"UPI/P2M/429532278816/McD
/OidHRP/Yes Bank Ltd",780.0,Others
22-10-2024,"UPI/P2M/429690469373/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
22-10-2024,"UPI/P2M/222277273683/One97 Communications
/Paymen/Yes Bank Ltd",60.0,Others
22-10-2024,"UPI/P2A/530012179045/ARMAAN BATRA
/Paymen/Axis Bank Ltd.",180.0,Others
22-10-2024,"ECOM PUR/GOOGLE
CLOUD/02240920005/221024/09:39/4296096311
02",2.0,Others
22-10-2024,"ATM-CASH/KATPADI VIT
I/VELLORE/221024",3000.0,Others
22-10-2024,"ATM-CASH/KATPADI VIT
II/VELLORE/221024",3000.0,Others
22-10-2024,"UPI/P2M/355931894460/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",280.0,Others
22-10-2024,"UPI/P2A/414244815120/KIRUBANANDAM S
/Paymen/Bank of Baroda",300.0,Others
23-10-2024,"UPI/P2A/865301915132/Chandrashekhara M K
/Paymen/Bank of Baroda",722.0,Others
23-10-2024,"UPI/P2M/483811358863/TATA STARBUCKS
PRIVAT/Paymen/Yes Bank Ltd",1097.0,Others
23-10-2024,"UPI/P2M/080963797899/Jio Prepaid
Recharges/Paymen/Yes Bank Ltd",29.0,Utilities
23-10-2024,"UPI/P2M/325500562550/Visalakshi Marketing
/Paymen/Yes Bank Ltd",80.0,Others
24-10-2024,"ECOM PUR/SOFTLAYER
DUT/AMSTERDAM/241024/14:25/42981438050
6",87.59,Others
25-10-2024,"UPI/P2M/702940397708/Fresh Signature
Jabal/Paymen/Jio Payments Bank",241.98,Others
26-10-2024,"UPI/P2M/117548117146/7892980208
/Paymen/Indian Bank",40.0,Others
26-10-2024,"UPI/P2M/113015570468/7892980208
/Paymen/Indian Bank",130.0,Others
27-10-2024,"UPI/P2A/175059710291/DEVANSHI ARYA
/Paymen/HDFC BANK LTD",520.0,Others
27-10-2024,"ATM-CASH/SBI DESALWA
COMPOU/JABALPUR/271024",1000.0,Others
27-10-2024,"UPI/P2M/793553171242/IRCTC Web UPI
/Paymen/Yes Bank Ltd",1484.05,Travel
28-10-2024,"UPI/P2M/116484523860/Airtel Payments Bank
/Prepai/INDUSIND BANK",99.0,Others
30-10-2024,"UPI/P2M/046087471370/Indian Railways
Cater/Paymen/Axis Bank Ltd.",1574.5,Others
30-10-2024,"UPI/P2M/250300800756/REDBUS
/Paymen/Axis Bank Ltd.",1660.84,Others
31-10-2024,"UPI/P2M/130216407755/INDIAN RAILWAY
CATERI/Paymen/Airtel Payments Bank",2224.5,Others
31-10-2024,"UPI/P2M/172375348362/INDIAN RAILWAY
CATERI/Paymen/Airtel Payments Bank",1334.05,Others
31-10-2024,"UPI/P2A/252133277547/M/S ADITAYA`S
/Paymen/State Bank Of India",4000.0,Others
01-01-2024,"UPI/P2M/400194742164/Google India Digital
/Paymen/Axis Bank Ltd.",179.0,Others
02-01-2024,"UPI/P2M/400253650785/Google India Digital
/Paymen/Axis Bank Ltd.",179.0,Others
02-01-2024,"UPI/P2M/400291054924/Google India Digital
/Paymen/Axis Bank Ltd.",449.0,Others
02-01-2024,"UPI/P2M/400217445475/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",30.0,Others
02-01-2024,"UPI/P2M/400228055722/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",215.0,Others
02-01-2024,"UPI/P2M/400258334602/IRCTCTOURISM
/PAYMEN/HDFC BANK LTD",578.95,Travel
02-01-2024,"UPI/P2M/400268071350/Airtel Payments Bank
/UPITra/ICICI Bank",455.0,Others
03-01-2024,"UPI/P2M/436938406209/Meesho               /UPI
In/Axis Bank Ltd.",1278.0,Shopping
03-01-2024,"UPI/P2M/436902704167/Myntra Designs Pvt
Lt/Paymen/Axis Bank Ltd.",865.0,Shopping
03-01-2024,"UPI/P2M/400352567457/Amazon Pay           /You
ar/Axis Bank Ltd.",3391.0,Shopping
03-01-2024,"UPI/P2M/400375483539/RENEE COSMETICS
PRIVA/Pay vi/Axis Bank Ltd.",1210.5,Others
03-01-2024,"UPI/P2M/400307461109/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
03-01-2024,"UPI/P2M/400353151680/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",80.0,Others
03-01-2024,"UPI/P2M/400383405962/Blue Dart Express
Ltd/Paymen/ICICI Bank",1785.0,Others
03-01-2024,"UPI/P2M/400381600273/Manivannan Raman
/Paymen/Paytm Payments Bank",35.0,Others
03-01-2024,"UPI/P2M/400360689744/ALL MART
/Paymen/Paytm Payments Bank",1880.0,Others
03-01-2024,"UPI/P2M/400305435446/APPLES FRUIT ZONE
/Paymen/Paytm Payments Bank",60.0,Others
04-01-2024,"UPI/P2M/400408423910/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
04-01-2024,"ECOM PUR/PAY*Vellore
I/Vallore/040124/10:23/400410768097",4767.34,Others
04-01-2024,"UPI/P2M/400428866980/Amazon Pay           /You
ar/Axis Bank Ltd.",1857.0,Shopping
05-01-2024,"UPI/P2A/437113087530/SANJANA AGARWAL
/Paymen/HDFC BANK LTD",3437.0,Others
05-01-2024,"UPI/P2M/400537605816/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",90.0,Others
05-01-2024,"UPI/P2M/400557654465/Felix logistics
/Paymen/Paytm Payments Bank",15.0,Others
05-01-2024,"UPI/P2M/400507673055/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
05-01-2024,"ECOM PUR/IRCTC E
TICKE/BANGALORE/050124/16:56/400516468
714",593.54,Travel
05-01-2024,"ECOM PUR/Vellore
Insti/632001/050124/17:05/400517223365",4770.66,Others
05-01-2024,"UPI/P2M/400527147142/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",82.0,Healthcare
06-01-2024,"ECOM PUR/Vellore
Insti/632001/060124/02:50/400502165357",6064.4,Others
06-01-2024,"UPI/P2M/400685062793/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
06-01-2024,"UPI/P2M/400637470269/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",115.0,Others
07-01-2024,"UPI/P2M/437303566298/Simpl_Checkout
/Paymen/Yes Bank Ltd",1799.0,Others
07-01-2024,"UPI/P2M/400722062618/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",30.0,Others
07-01-2024,"UPI/P2M/400744327710/ULZAVAR
URPATHIAARLAR/Paymen/Paytm Payments
Bank",15.0,Others
08-01-2024,"UPI/P2M/400807155313/Amazon Pay           /You
ar/Axis Bank Ltd.",1718.0,Shopping
08-01-2024,"UPI/P2M/400832874634/Felix logistics
/Paymen/Paytm Payments Bank",15.0,Others
08-01-2024,"UPI/P2M/400818864721/Amazon Pay           /You
ar/Axis Bank Ltd.",653.0,Shopping
08-01-2024,"UPI/P2M/400856560221/R GAYATHRI
/Paymen/Paytm Payments Bank",40.0,Others
08-01-2024,"UPI/P2M/400828398956/R GAYATHRI
/Paymen/Paytm Payments Bank",20.0,Others
08-01-2024,"ECOM PUR/IRCTC E
TICKE/BANGALORE/080124/13:33/400813087
807",593.54,Travel
09-01-2024,"UPI/P2M/400962833108/ULZAVAR
URPATHIAARLAR/Paymen/Paytm Payments
Bank",35.0,Others
09-01-2024,"UPI/P2M/400915283047/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",60.0,Others
09-01-2024,"UPI/P2M/400933074174/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
09-01-2024,"UPI/P2M/400967926628/MC DONALDS
/Paymen/HDFC BANK LTD",563.0,Others
10-01-2024,"UPI/P2M/401075775071/Dhinakaran K
/Paymen/Paytm Payments Bank",20.0,Others
10-01-2024,"UPI/P2M/401030459949/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
10-01-2024,"UPI/P2M/401001369530/R GAYATHRI
/Paymen/Paytm Payments Bank",55.0,Others
11-01-2024,"UPI/P2M/401166748605/Felix Logistics
/Paymen/Paytm Payments Bank",18.0,Others
11-01-2024,"UPI/P2A/437795135634/AYUSHI GIRIJESH
/UPI/ICICI Bank",5000.0,Others
11-01-2024,"UPI/P2M/401108472874/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",40.0,Others
11-01-2024,"UPI/P2M/401147510237/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
11-01-2024,"UPI/P2M/401136970593/Mr V Balaji
/Paymen/Paytm Payments Bank",350.0,Others
12-01-2024,"UPI/P2M/401232754467/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
12-01-2024,"UPI/P2M/401283517929/Felix Logistics
/Paymen/Bank of Baroda",15.0,Others
12-01-2024,"UPI/P2M/401242502968/Felix logistics
/Paymen/Paytm Payments Bank",15.0,Others
12-01-2024,"UPI/P2M/401241505916/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",20.0,Others
12-01-2024,"UPI/P2M/401223951429/PHKatpadi 1809
/Paymen/Paytm Payments Bank",539.0,Others
12-01-2024,"UPI/P2M/401208085062/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",20.0,Others
13-01-2024,"UPI/P2M/401395406793/Brokentusk
Technologi/Accoun/Kotak Mahindra Bank",1.0,Others
13-01-2024,"UPI/P2M/401347150800/Pantaloons
/Paymen/Paytm Payments Bank",2397.0,Others
13-01-2024,"UPI/P2M/401373242397/PROODLE
HOSPITALITY S/Paymen/HDFC BANK LTD",98.0,Healthcare
13-01-2024,"UPI/P2A/437996737742/BHAGIRATH ARYA
/Paymen/HDFC BANK LTD",1522.0,Others
14-01-2024,"NBSM/45430075/ZERODHA BROKING
LIMITED/",215432.0,Others
14-01-2024,"UPI/P2M/401446816625/Mr Murali Dharan K
/Paymen/Paytm Payments Bank",60.0,Others
14-01-2024,"UPI/P2M/401438595958/ULZAVAR
URPATHIAARLAR/Paymen/Paytm Payments
Bank",35.0,Others
15-01-2024,"UPI/P2A/401582975353/Mr DHANASEKAR
RAVI   /Paymen/Indian Bank",754.0,Others
16-01-2024,"UPI/P2M/401686093062/LAVA CAKES
/Paymen/HDFC BANK LTD",40.0,Others
16-01-2024,"UPI/P2A/401638430527/ARYAN SRIVASTAVA
/Paymen/HDFC BANK LTD",370.0,Others
16-01-2024,"UPI/P2A/401635418523/Saransh  Singh
/Paymen/State Bank Of India",120.0,Others
16-01-2024,"UPI/P2M/401640665961/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",10.0,Others
16-01-2024,"UPI/P2M/401652517151/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",10.0,Others
16-01-2024,"UPI/P2M/401637753316/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",40.0,Others
17-01-2024,"UPI/P2M/401794696187/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
17-01-2024,"UPI/P2M/401792675710/JM GENERAL STORE
/Paymen/Paytm Payments Bank",70.0,Others
17-01-2024,"UPI/P2M/401798076459/Intimi India Private /Upi
Tr/HDFC BANK LTD",3090.0,Others
17-01-2024,"UPI/P2M/401774570304/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",115.0,Others
17-01-2024,"UPI/P2M/401798857024/IRCTCC               /Pay
vi/HDFC BANK LTD",107.15,Travel
17-01-2024,"UPI/P2A/401727500793/RUSHABH MEHTA
/UPI/HDFC BANK LTD",100.0,Others
18-01-2024,"UPI/P2M/401808225893/Felix Logistics
/Paymen/Paytm Payments Bank",15.0,Others
18-01-2024,"UPI/P2M/401838043148/MUNISAMY
PUNNIYAMURTH/Paymen/Paytm Payments
Bank",20.0,Others
